User ID,Age,Course,Topic,Difficulty Level,Video Time (mins),Article Time (mins),Hands-on Time (mins),Quiz Time (mins),Quiz Score (%),Progress (%),Attempts,Detected Learning Style (VARK),Recommended Learning Style
1,21,Machine Learning,OOP,Easy,13,3,51,26,37,33,1,Kinesthetic,More Hands-On Exercises
2,20,Python,Sorting Algorithms,Hard,15,53,60,24,52,100,3,Kinesthetic,More Hands-On Exercises
3,23,Machine Learning,Loops,Hard,6,13,9,11,12,35,1,Reading/Writing,More Articles
4,20,Machine Learning,Sorting Algorithms,Easy,33,36,19,26,63,50,2,Reading/Writing,More Articles
5,23,Java,Sorting Algorithms,Hard,46,32,27,29,20,96,1,Visual,More Videos
6,23,Machine Learning,Data Visualization,Medium,44,14,30,6,66,38,4,Visual,More Videos
7,24,Java,Sorting Algorithms,Hard,22,50,52,16,93,76,5,Kinesthetic,More Hands-On Exercises
8,23,Java,Regression,Hard,12,2,42,15,56,66,4,Kinesthetic,More Hands-On Exercises
9,18,Data Science,Loops,Hard,60,26,51,25,35,95,4,Visual,More Videos
10,21,Java,Data Visualization,Medium,49,30,11,16,97,90,4,Visual,More Videos
11,18,C++,Sorting Algorithms,Medium,59,13,3,15,100,3,1,Visual,More Videos
12,18,Machine Learning,Data Visualization,Medium,11,27,39,7,2,61,3,Kinesthetic,More Hands-On Exercises
13,20,Python,Sorting Algorithms,Easy,12,57,14,21,68,30,1,Reading/Writing,More Articles
14,24,C++,OOP,Easy,11,24,42,16,10,84,4,Kinesthetic,More Hands-On Exercises
15,25,Java,Sorting Algorithms,Hard,7,54,6,28,69,10,3,Reading/Writing,More Articles
16,18,Machine Learning,OOP,Easy,46,49,25,30,86,38,2,Reading/Writing,More Articles
17,25,C++,Data Visualization,Medium,44,21,1,17,18,96,3,Visual,More Videos
18,25,Machine Learning,OOP,Medium,21,37,59,27,74,0,5,Kinesthetic,More Hands-On Exercises
19,23,Java,OOP,Hard,16,12,38,20,35,58,3,Kinesthetic,More Hands-On Exercises
20,23,Machine Learning,Sorting Algorithms,Medium,21,9,37,20,82,19,1,Kinesthetic,More Hands-On Exercises
21,25,Machine Learning,Loops,Easy,13,37,28,10,79,29,1,Reading/Writing,More Articles
22,23,C++,Data Visualization,Hard,18,1,17,12,98,38,1,Visual,More Videos
23,22,C++,Regression,Easy,31,27,18,19,76,53,5,Visual,More Videos
24,18,Python,Sorting Algorithms,Medium,8,58,33,26,64,9,2,Reading/Writing,More Articles
25,19,Java,Loops,Medium,17,26,2,17,78,79,1,Reading/Writing,More Articles
26,20,Java,Regression,Hard,49,50,31,16,79,5,2,Reading/Writing,More Articles
27,18,Machine Learning,Sorting Algorithms,Hard,6,45,39,26,35,32,1,Reading/Writing,More Articles
28,22,Python,Sorting Algorithms,Medium,32,29,38,13,41,41,5,Kinesthetic,More Hands-On Exercises
29,25,Java,Loops,Medium,41,17,31,17,67,69,4,Visual,More Videos
30,24,Java,Loops,Easy,34,18,7,14,41,36,3,Visual,More Videos
31,19,Python,Sorting Algorithms,Easy,6,50,44,21,11,14,5,Reading/Writing,More Articles
32,24,Data Science,OOP,Medium,28,9,35,16,49,87,2,Kinesthetic,More Hands-On Exercises
33,24,C++,Sorting Algorithms,Medium,18,52,42,27,6,19,3,Reading/Writing,More Articles
34,22,C++,Regression,Easy,59,46,47,6,38,100,5,Visual,More Videos
35,18,Python,Regression,Medium,31,11,49,9,38,94,1,Kinesthetic,More Hands-On Exercises
36,19,Data Science,Sorting Algorithms,Hard,13,32,60,7,49,20,1,Kinesthetic,More Hands-On Exercises
37,23,Java,Loops,Hard,54,55,38,26,62,42,1,Reading/Writing,More Articles
38,19,Data Science,Sorting Algorithms,Hard,55,46,30,27,84,25,1,Visual,More Videos
39,21,Data Science,Data Visualization,Medium,24,2,56,29,74,18,3,Kinesthetic,More Hands-On Exercises
40,18,Java,Data Visualization,Medium,11,11,7,11,28,22,3,Visual,More Videos
41,22,Java,Data Visualization,Easy,9,27,34,24,41,82,3,Kinesthetic,More Hands-On Exercises
42,21,Java,Sorting Algorithms,Medium,42,29,5,19,23,42,2,Visual,More Videos
43,22,C++,Data Visualization,Hard,22,27,1,25,69,67,4,Reading/Writing,More Articles
44,19,Data Science,Regression,Easy,52,59,26,14,81,18,4,Reading/Writing,More Articles
